prosumer_id,prosumer_name,location,total_consumption,total_production,max_consumption,max_production,avg_total_consumption,avg_total_production,avg_max_consumption,avg_max_production
4043,HEDNO_wind_4043,Τρίπολης,0.0,37869918.0,,3444.0,0.0,3155685.5,0.0,3181.5
4044,HEDNO_wind_4044,Αλιβερίου,0.0,16412468.0,,2344.0,0.0,1367510.6666666667,0.0,2305.6666666666665
4045,HEDNO_wind_4045,Ηρακλείου,0.0,941944.200000012,,104.64,0.0,78492.91250000002,0.0,98.10000000000002
4046,HEDNO_wind_4046,Καρύστου,0.0,11963961.6,,1461.6,0.0,996996.7999999993,0.0,1393.2
4047,HEDNO_wind_4047,Καρύστου,0.0,3991110.5,,314.0,0.0,332580.5,0.0,288.58333333333337
4048,HEDNO_wind_4048,Αλιβερίου,0.0,5378521.20000003,,471.0,0.0,448197.8500000002,0.0,443.05000000000007
4049,HEDNO_wind_4049,Καρύστου,0.0,214217.400000001,,35.8,0.0,17851.45000000002,0.0,29.083333333333332
4050,HEDNO_wind_4050,Καρύστου,0.0,4895142.0,,962.0,0.0,407928.5,0.0,779.5000000000001
5001,HEDNO_commercial_MV_5001,Μ.Τ. Περ. Φιλοθέης,598384.56000001,0.0,85.68,,49864.610000000015,0.0,47.81,0.0
5002,HEDNO_commercial_MV_5002,Μ.Τ Περ. Περιστερίου,577247.520000003,0.0,29.6,,48103.206666666665,0.0,27.22,0.0
5003,HEDNO_commercial_MV_5003,Κοζάνης,326844.319999999,0.0,19.92,,27236.539999999986,0.0,18.31,0.0
5004,HEDNO_commercial_MV_5004,Μ.Τ Περ. Αθηνών,8267735.03999999,0.0,418.56,,688961.4799999997,0.0,341.9,0.0
5005,HEDNO_commercial_MV_5005,Πτολεμαϊδας,251588.08,0.0,16.4,,20965.39999999999,0.0,14.053333333333335,0.0
5006,HEDNO_commercial_MV_5006,Κοζάνης,934218.08,0.0,53.36,,77850.37999999998,0.0,48.260000000000005,0.0
5007,HEDNO_commercial_MV_5007,Κοζάνης,303741.120000001,0.0,18.8,,25311.36000000001,0.0,15.513333333333332,0.0
5008,HEDNO_commercial_MV_5008,Μ.Τ Περ. Αθηνών,376052.879999978,0.0,65.04,,31337.38000000004,0.0,44.04,0.0
5009,HEDNO_commercial_MV_5009,Μ.Τ. Περ. Φιλοθέης,106509.199999994,0.0,13.68,,8875.673333333372,0.0,11.913333333333332,0.0
5010,HEDNO_commercial_MV_5010,Πάτρας,558788.000000002,0.0,48.4,,46563.91666666665,0.0,29.549999999999997,0.0
5011,HEDNO_commercial_MV_5011,Μ.Τ. Περ. Φιλοθέης,428721.399999997,0.0,17.72,,35725.840000000026,0.0,15.949999999999998,0.0
5012,HEDNO_commercial_MV_5012,Μ.Τ Περ. Αθηνών,1813791.36,0.0,102.08,,151147.44666666657,0.0,90.43999999999998,0.0
5013,HEDNO_commercial_MV_5013,Καρδίτσας,131510.00000001,0.0,27.68,,10958.95333333334,0.0,19.833333333333336,0.0
5014,HEDNO_commercial_MV_5014,Καρδίτσας,826900.560000006,0.0,53.68,,68907.33333333337,0.0,48.36,0.0
5015,HEDNO_commercial_MV_5015,Μ.Τ Περ. Αθηνών,363937.056000026,0.0,44.064,,30327.695999999974,0.0,36.008,0.0
5016,HEDNO_commercial_MV_5016,Μ.Τ Περ. Αθηνών,2535828.39999998,0.0,261.6,,211316.066666667,0.0,202.0,0.0
5017,HEDNO_commercial_MV_5017,Μ.Τ Περ. Πειραιώς,529851.839999999,0.0,35.6,,44153.333333333365,0.0,28.71333333333333,0.0
5018,HEDNO_commercial_MV_5018,Μ.Τ Περ. Πειραιώς,408638.6,0.0,29.04,,34052.61,0.0,21.0,0.0
5019,HEDNO_commercial_MV_5019,Μ.Τ Περ. Πειραιώς,713526.999999999,0.0,36.96,,59459.61666666666,0.0,33.96,0.0
5020,HEDNO_commercial_MV_5020,Μ.Τ Περ. Πειραιώς,1334670.23999998,0.0,116.4,,111221.2199999999,0.0,106.94000000000001,0.0
5021,HEDNO_commercial_MV_5021,Κεντρ. Θεσ/κης,332033.520000007,0.0,43.2,,27669.100000000028,0.0,32.82,0.0
5022,HEDNO_commercial_MV_5022,Κεντρ. Θεσ/κης,1951776.87999998,0.0,87.6,,162644.01999999993,0.0,73.28666666666666,0.0
